id,values,prev_values,next_values,sensor_day,time_on_day,day_of_week,id,categorical_id,hours_from_start,categorical_day_of_week,categorical_time_on_day
0,0.01933333333333333,0.02093333333333333,0.0202,0,1,4,400000,400000,1.0,4,1
1,0.0202,0.01933333333333333,0.02245,0,2,4,400000,400000,2.0,4,2
2,0.02245,0.0202,0.02928333333333333,0,3,4,400000,400000,3.0,4,3
3,0.02928333333333333,0.02245,0.055483333333333336,0,4,4,400000,400000,4.0,4,4
4,0.055483333333333336,0.02928333333333333,0.07393333333333334,0,5,4,400000,400000,5.0,4,5
5,0.07393333333333334,0.055483333333333336,0.05706666666666666,0,6,4,400000,400000,6.0,4,6
6,0.05706666666666666,0.07393333333333334,0.05938333333333334,0,7,4,400000,400000,7.0,4,7
7,0.05938333333333334,0.05706666666666666,0.06405000000000001,0,8,4,400000,400000,8.0,4,8
8,0.06405000000000001,0.05938333333333334,0.06903333333333334,0,9,4,400000,400000,9.0,4,9
9,0.06903333333333334,0.06405000000000001,0.06643333333333334,0,10,4,400000,400000,10.0,4,10
10,0.06643333333333334,0.06903333333333334,0.06698333333333334,0,11,4,400000,400000,11.0,4,11
11,0.06698333333333334,0.06643333333333334,0.06893333333333333,0,12,4,400000,400000,12.0,4,12
12,0.06893333333333333,0.06698333333333334,0.06746666666666666,0,13,4,400000,400000,13.0,4,13
13,0.06746666666666666,0.06893333333333333,0.06396666666666667,0,14,4,400000,400000,14.0,4,14
14,0.06396666666666667,0.06746666666666666,0.061283333333333335,0,15,4,400000,400000,15.0,4,15
15,0.061283333333333335,0.06396666666666667,0.06620000000000001,0,16,4,400000,400000,16.0,4,16
16,0.06620000000000001,0.061283333333333335,0.056433333333333335,0,17,4,400000,400000,17.0,4,17
17,0.056433333333333335,0.06620000000000001,0.04535,0,18,4,400000,400000,18.0,4,18
18,0.04535,0.056433333333333335,0.038983333333333335,0,19,4,400000,400000,19.0,4,19
19,0.038983333333333335,0.04535,0.036283333333333334,0,20,4,400000,400000,20.0,4,20
20,0.036283333333333334,0.038983333333333335,0.03155,0,21,4,400000,400000,21.0,4,21
21,0.03155,0.036283333333333334,0.02493333333333333,0,22,4,400000,400000,22.0,4,22
22,0.02493333333333333,0.03155,0.02316666666666667,0,23,4,400000,400000,23.0,4,23
23,0.02316666666666667,0.02493333333333333,0.021366666666666662,1,0,5,400000,400000,24.0,5,0
24,0.021366666666666662,0.02316666666666667,0.02345,1,1,5,400000,400000,25.0,5,1
25,0.02345,0.021366666666666662,0.024533333333333334,1,2,5,400000,400000,26.0,5,2
26,0.024533333333333334,0.02345,0.0302,1,3,5,400000,400000,27.0,5,3
27,0.0302,0.024533333333333334,0.051800000000000006,1,4,5,400000,400000,28.0,5,4
28,0.051800000000000006,0.0302,0.07403333333333333,1,5,5,400000,400000,29.0,5,5
29,0.07403333333333333,0.051800000000000006,0.06018333333333333,1,6,5,400000,400000,30.0,5,6
30,0.06018333333333333,0.07403333333333333,0.06285,1,7,5,400000,400000,31.0,5,7
31,0.06285,0.06018333333333333,0.06995,1,8,5,400000,400000,32.0,5,8
32,0.06995,0.06285,0.07096666666666668,1,9,5,400000,400000,33.0,5,9
33,0.07096666666666668,0.06995,0.07245,1,10,5,400000,400000,34.0,5,10
34,0.07245,0.07096666666666668,0.07256666666666667,1,11,5,400000,400000,35.0,5,11
35,0.07256666666666667,0.07245,0.06966666666666667,1,12,5,400000,400000,36.0,5,12
36,0.06966666666666667,0.07256666666666667,0.06976666666666667,1,13,5,400000,400000,37.0,5,13
37,0.06976666666666667,0.06966666666666667,0.06626666666666667,1,14,5,400000,400000,38.0,5,14
38,0.06626666666666667,0.06976666666666667,0.06026666666666666,1,15,5,400000,400000,39.0,5,15
39,0.06026666666666666,0.06626666666666667,0.05916666666666667,1,16,5,400000,400000,40.0,5,16
40,0.05916666666666667,0.06026666666666666,0.0551,1,17,5,400000,400000,41.0,5,17
41,0.0551,0.05916666666666667,0.043583333333333335,1,18,5,400000,400000,42.0,5,18
42,0.043583333333333335,0.0551,0.03593333333333334,1,19,5,400000,400000,43.0,5,19
43,0.03593333333333334,0.043583333333333335,0.033916666666666664,1,20,5,400000,400000,44.0,5,20
44,0.033916666666666664,0.03593333333333334,0.028916666666666663,1,21,5,400000,400000,45.0,5,21
45,0.028916666666666663,0.033916666666666664,0.024983333333333333,1,22,5,400000,400000,46.0,5,22
46,0.024983333333333333,0.028916666666666663,0.023500000000000004,1,23,5,400000,400000,47.0,5,23
47,0.023500000000000004,0.024983333333333333,0.0233,2,0,6,400000,400000,48.0,6,0
48,0.0233,0.023500000000000004,0.02206666666666667,2,1,6,400000,400000,49.0,6,1
49,0.02206666666666667,0.0233,0.025716666666666665,2,2,6,400000,400000,50.0,6,2
50,0.025716666666666665,0.02206666666666667,0.03145,2,3,6,400000,400000,51.0,6,3
51,0.03145,0.025716666666666665,0.052,2,4,6,400000,400000,52.0,6,4
52,0.052,0.03145,0.06301666666666667,2,5,6,400000,400000,53.0,6,5
53,0.06301666666666667,0.052,0.0524,2,6,6,400000,400000,54.0,6,6
54,0.0524,0.06301666666666667,0.0722,2,7,6,400000,400000,55.0,6,7
55,0.0722,0.0524,0.058166666666666665,2,8,6,400000,400000,56.0,6,8
56,0.058166666666666665,0.0722,0.039683333333333334,2,9,6,400000,400000,57.0,6,9
57,0.039683333333333334,0.058166666666666665,0.044550000000000006,2,10,6,400000,400000,58.0,6,10
58,0.044550000000000006,0.039683333333333334,0.04231666666666667,2,11,6,400000,400000,59.0,6,11
59,0.04231666666666667,0.044550000000000006,0.043383333333333336,2,12,6,400000,400000,60.0,6,12
60,0.043383333333333336,0.04231666666666667,0.04253333333333333,2,13,6,400000,400000,61.0,6,13
61,0.04253333333333333,0.043383333333333336,0.043783333333333334,2,14,6,400000,400000,62.0,6,14
62,0.043783333333333334,0.04253333333333333,0.049999999999999996,2,15,6,400000,400000,63.0,6,15
63,0.049999999999999996,0.043783333333333334,0.05018333333333333,2,16,6,400000,400000,64.0,6,16
64,0.05018333333333333,0.049999999999999996,0.04626666666666667,2,17,6,400000,400000,65.0,6,17
65,0.04626666666666667,0.05018333333333333,0.039766666666666665,2,18,6,400000,400000,66.0,6,18
66,0.039766666666666665,0.04626666666666667,0.03543333333333333,2,19,6,400000,400000,67.0,6,19
67,0.03543333333333333,0.039766666666666665,0.033,2,20,6,400000,400000,68.0,6,20
68,0.033,0.03543333333333333,0.028249999999999997,2,21,6,400000,400000,69.0,6,21
69,0.028249999999999997,0.033,0.023883333333333336,2,22,6,400000,400000,70.0,6,22
70,0.023883333333333336,0.028249999999999997,0.020066666666666667,2,23,6,400000,400000,71.0,6,23
71,0.020066666666666667,0.023883333333333336,0.021183333333333332,3,0,7,400000,400000,72.0,7,0
72,0.021183333333333332,0.020066666666666667,0.020566666666666667,3,1,7,400000,400000,73.0,7,1
73,0.020566666666666667,0.021183333333333332,0.02055,3,2,7,400000,400000,74.0,7,2
74,0.02055,0.020566666666666667,0.022616666666666663,3,3,7,400000,400000,75.0,7,3
75,0.022616666666666663,0.02055,0.028233333333333336,3,4,7,400000,400000,76.0,7,4
76,0.028233333333333336,0.022616666666666663,0.03376666666666666,3,5,7,400000,400000,77.0,7,5
77,0.03376666666666666,0.028233333333333336,0.036116666666666665,3,6,7,400000,400000,78.0,7,6
78,0.036116666666666665,0.03376666666666666,0.04585,3,7,7,400000,400000,79.0,7,7
